,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
120,rh_S_cingul-Marginalis_thickness,-13527.688099195791,0.38085993817040076,-0.8401437989504431,-27030.46215437722,0.1909058918888806,1.4846651756969609
121,rh_S_circular_insula_ant_thickness,-2413.444664023617,0.252565516660716,-0.4696966989651803,-4801.975284032869,0.41171113418931354,1.0730572687532904
122,rh_S_circular_insula_inf_thickness,-3462.6105830823676,0.16581217848495533,-0.16550122486732202,-6900.307122150371,0.45600870619750383,1.9222434774566146
123,rh_S_circular_insula_sup_thickness,-16135.625579522628,0.32298855506425517,-0.6808616976224602,-32246.337115030892,0.44686379995654424,1.1058342660642062
124,rh_S_collat_transv_ant_thickness,-3776.6702648925134,0.3883662268270389,-0.42987205613593876,-7528.426485770662,0.375421135689357,1.191079670930713
125,rh_S_collat_transv_post_thickness,-6190.40131419569,0.18292786776687742,-0.37884531160566015,-12355.888584377015,0.48832634318307283,1.8567035658722277
126,rh_S_front_inf_thickness,-17125.41455391346,0.3125693956961736,-1.0228456257112437,-34225.91506381255,0.17630019055420412,0.7287503362270815
127,rh_S_front_middle_thickness,-15793.895851046082,0.45366376266915853,-1.302523413465122,-31562.8776580778,0.224140531387545,0.4784035717539723
128,rh_S_front_sup_thickness,-16025.527233935483,0.4399874715617579,-1.0436266186504148,-32026.140423856603,0.2180571358079541,0.37579187934919256
129,rh_S_interm_prim-Jensen_thickness,-2155.7472169169923,0.14204727962894126,-0.5169232175829493,-4286.58038981962,0.6082494078413191,1.196240263211663
130,rh_S_intrapariet&P_trans_thickness,-16797.825920049996,0.4536059542858988,-1.1348295166853006,-33570.737796085625,-0.43467270484947385,2.1601082243464638
131,rh_S_oc_middle&Lunatus_thickness,-10103.69462904481,0.11009560866029489,-0.5661647793377297,-20182.475214075257,1.0085681223432426,3.7096387203984786
132,rh_S_oc_sup&transversal_thickness,-13883.845409973723,0.24267790157774416,-0.812511759229618,-27742.77677593308,0.34513415389433655,0.5875122590662727
133,rh_S_occipital_ant_thickness,-7230.883314577559,0.1852120853541548,-0.5538472357960051,-14436.852585140752,0.27320255235623137,0.4030568864978044
134,rh_S_oc-temp_lat_thickness,-8940.377584113608,0.3694293133720723,-0.5511976053650371,-17855.841124212853,0.14958965168007554,2.5611873398900085
135,rh_S_oc-temp_med&Lingual_thickness,-11345.680678478531,0.267451517720362,-0.24324788432621972,-22666.4473129427,0.4345304202392914,1.4617045820440155
136,rh_S_orbital_lateral_thickness,-5742.4555458532,0.2249052522547692,-0.6661107342013647,-11459.997047692035,0.4971951465124038,1.3170459964895271
137,rh_S_orbital_med-olfact_thickness,-6576.52158874606,0.2632954499603004,-0.411236088309396,-13128.129133477754,0.6683263112437898,2.1685576459240625
138,rh_S_orbital-H_Shaped_thickness,-8328.733752727963,0.2554153986715595,-1.131493392692028,-16632.553461441563,0.32959589253889887,0.6266209229091169
139,rh_S_parieto_occipital_thickness,-13744.354357413598,0.3595516344870615,-0.7178823808030458,-27463.794670812833,0.10738589813491257,0.3940964189097305
140,rh_S_pericallosal_thickness,7279.85226852687,0.2192839341593814,-0.10619294170627205,14584.618581068105,1.1084993160452026,3.2431168792739253
141,rh_S_postcentral_thickness,-13532.49571304061,0.4291498596696668,-0.9883587946217486,-27040.077382066855,0.13025352072058172,0.5700111249714158
142,rh_S_precentral-inf-part_thickness,-13753.038033025694,0.32701244402854923,-0.8150768981521855,-27481.162022037024,-0.15950593279846573,2.5041299583801973
143,rh_S_precentral-sup-part_thickness,-8854.215739366224,0.28227546716536,-0.48211298795869206,-17683.517434718084,-0.6583565037089758,3.8598113550882616
144,rh_S_suborbital_thickness,12262.107923274161,0.14106085853144912,-0.2182746187870609,24549.129890562686,0.5372876637752214,0.6649883133937852
145,rh_S_subparietal_thickness,-12282.442396625594,0.10966414233760358,-0.5529379648519848,-24539.970749236825,-0.06522604401531991,3.531608536832792
146,rh_S_temporal_inf_thickness,-10348.303795004429,0.4682872376804995,-0.6155329284534833,-20671.693545994494,0.6709517258872365,1.8400653670385876
147,rh_S_temporal_sup_thickness,-18422.00199686516,0.30408236193391747,-0.9404360157169636,-36819.089949715955,0.17448370323291962,0.4035618060014707
148,rh_S_temporal_transverse_thickness,7003.551772444,0.1209085793484953,-0.0911603766696491,14032.017588902365,0.21322277455903718,0.30688684699573887
149,rh_MeanThickness_thickness,-23970.252822464856,0.3999540150948395,-0.9938951951387123,-47915.591600915344,0.13750530864394322,0.8312592884415414
150,Left-Lateral-Ventricle,286473.4878945497,0.13890549732261437,-0.23458171674591557,572971.8898331138,0.5986014555401564,0.6264506098641696
151,Left-Inf-Lat-Vent,192104.54967702882,0.06404880230737897,-0.11974001154623108,384234.013398072,0.09276205381246347,0.6060722685960663
